PlantID	SO18-H1-5-41																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A)
0	2021-08-10	08:47:26	SLCS		Light Curve start 																		
0	2021-08-10	08:47:26	REG1		#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.007, ETRmPot: 21.441 ) 																		
0	2021-08-10	08:47:26	REG2		#2: alpha: 0.164, ETRm: 27.794, Ik: 169.900 																		
655	2021-08-10	08:47:27	SCHS		Chart start 																		
656	2021-08-10	08:47:27	FO	2	B	263	875	0	15.6	0.699	0	-	0.84	-	-	-	-	-	-	263	875	0.699	7.4
100640	2021-08-10	08:49:07	F	3	B	204	336	23	15.7	0.393	3.8	177	0.84	0.83	0.74	0.72	1.604	0.233	0.374	263	875	0.699	7.4
200622	2021-08-10	08:50:47	F	4	B	184	299	43	15.6	0.385	7	167	0.84	0.871	0.784	0.791	1.926	0.21	0.405	263	875	0.699	7.4
300612	2021-08-10	08:52:27	F	5	B	184	314	63	15.6	0.414	11	171	0.84	0.909	0.766	0.845	1.787	0.21	0.376	263	875	0.699	7.4
400592	2021-08-10	08:54:07	F	6	B	179	296	87	15.6	0.395	14.4	166	0.84	0.9	0.788	0.835	1.956	0.205	0.4	263	875	0.699	7.4
500575	2021-08-10	08:55:47	F	7	B	171	263	121	15.6	0.35	17.8	155	0.84	0.852	0.824	0.772	2.327	0.195	0.455	263	875	0.699	7.4
600579	2021-08-10	08:57:27	F	8	B	171	231	185	15.6	0.26	20.2	143	0.84	0.682	0.856	0.57	2.788	0.195	0.545	263	875	0.699	7.3
700570	2021-08-10	08:59:07	F	9	B	179	228	277	15.6	0.215	25	142	0.84	0.57	0.859	0.452	2.838	0.205	0.58	263	875	0.699	7.4
800512	2021-08-10	09:00:47	F	10	B	175	203	408	15.6	0.138	23.6	132	0.84	0.394	0.884	0.297	3.31	0.2	0.662	263	875	0.699	7.3
900535	2021-08-10	09:02:27	F	11	B	177	196	612	15.6	0.097	24.9	129	0.84	0.284	0.891	0.207	3.464	0.202	0.701	263	875	0.699	7.3
1000525	2021-08-10	09:04:07	F	12	B	177	191	800	15.6	0.073	24.5	127	0.84	0.219	0.895	0.157	3.581	0.202	0.725	263	875	0.699	7.3
1100506	2021-08-10	09:05:47	F	13	B	175	188	1119	15.6	0.069	32.4	125	0.84	0.206	0.897	0.147	3.654	0.2	0.731	263	875	0.699	7.3
1200512	2021-08-10	09:07:27	F	14	B	173	183	1461	15.6	0.055	33.7	123	0.84	0.167	0.902	0.119	3.781	0.198	0.747	263	875	0.699	7.2
1203402	2021-08-10	09:07:30	SLCE		Light Curve end 																		
PlantID	SO18-H3-7-28																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-08-10	09:11:39	SLCS		Light Curve start 																		
0	2021-08-10	09:11:39	REG1		#2: alpha: 0.163, ETRm: 14.302, Ik: 87.819   ( beta: 0.008, ETRmPot: 17.354 ) 																		
0	2021-08-10	09:11:39	REG2		#2: alpha: 0.140, ETRm: 12.434, Ik: 88.647 																		
750	2021-08-10	09:11:39	SCHS		Chart start 																		
751	2021-08-10	09:11:39	FO	15	B	264	1211	0	-	0.782	0	-	0.84	-	-	-	-	-	-	264	1211	0.782	7.3
100732	2021-08-10	09:13:19	F	16	B	410	629	24	-	0.348	3.5	220	0.84	0.535	0.568	0.287	0.925	0.339	0.313	264	1211	0.782	7.3
200715	2021-08-10	09:14:59	F	17	B	362	487	43	-	0.257	4.6	199	0.84	0.434	0.696	0.239	1.487	0.299	0.444	264	1211	0.782	7.3
300697	2021-08-10	09:16:39	F	18	B	337	447	63	-	0.246	6.5	192	0.84	0.431	0.731	0.246	1.709	0.278	0.476	264	1211	0.782	7.3
400711	2021-08-10	09:18:19	F	19	B	347	471	87	-	0.263	9.6	197	0.84	0.453	0.711	0.257	1.571	0.287	0.45	264	1211	0.782	7.2
500691	2021-08-10	09:19:59	F	20	B	393	523	122	-	0.249	12.8	205	0.84	0.409	0.664	0.213	1.315	0.325	0.426	264	1211	0.782	7.3
600675	2021-08-10	09:21:39	F	21	B	389	466	185	-	0.165	12.8	196	0.84	0.285	0.715	0.144	1.599	0.321	0.514	264	1211	0.782	7.3
700661	2021-08-10	09:23:19	F	22	B	388	443	278	-	0.124	14.5	192	0.84	0.219	0.735	0.108	1.734	0.32	0.556	264	1211	0.782	7.3
800647	2021-08-10	09:24:59	F	23	B	383	418	409	-	0.084	14.4	187	0.84	0.152	0.756	0.074	1.897	0.316	0.6	264	1211	0.782	7.2
900633	2021-08-10	09:26:39	F	24	B	362	380	613	-	0.047	12.1	179	0.84	0.09	0.788	0.045	2.187	0.299	0.654	264	1211	0.782	7.2
1000632	2021-08-10	09:28:19	F	25	B	351	364	802	-	0.036	12.1	175	0.84	0.069	0.8	0.034	2.327	0.29	0.674	264	1211	0.782	7.2
1100619	2021-08-10	09:29:59	F	26	B	339	347	1121	-	0.023	10.8	171	0.84	0.045	0.814	0.023	2.49	0.28	0.697	264	1211	0.782	7.2
1200606	2021-08-10	09:31:39	F	27	B	327	332	1464	-	0.015	9.2	167	0.84	0.03	0.826	0.015	2.648	0.27	0.715	264	1211	0.782	7.1
1203819	2021-08-10	09:31:43	SLCE		Light Curve end 																		
PlantID	SO18-H3-7-13																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-08-10	09:34:19	SLCS		Light Curve start 																		
0	2021-08-10	09:34:19	REG1		#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 12.837 ) 																		
0	2021-08-10	09:34:19	REG2		#2: alpha: 0.170, ETRm: 16.183, Ik: 94.917 																		
770	2021-08-10	09:34:19	SCHS		Chart start 																		
771	2021-08-10	09:34:19	FO	28	B	267	1141	0	-	0.766	0	-	0.84	-	-	-	-	-	-	267	1141	0.766	7.2
100755	2021-08-10	09:35:59	F	29	B	287	572	23	-	0.498	4.8	217	0.84	0.803	0.594	0.607	0.995	0.252	0.25	267	1141	0.766	7.2
200763	2021-08-10	09:37:39	F	30	B	295	541	43	-	0.455	8.2	212	0.84	0.748	0.624	0.538	1.109	0.259	0.286	267	1141	0.766	7.2
300743	2021-08-10	09:39:19	F	31	B	286	467	63	-	0.388	10.3	200	0.84	0.678	0.695	0.474	1.443	0.251	0.361	267	1141	0.766	7.2
400728	2021-08-10	09:40:59	F	32	B	277	401	87	-	0.309	11.3	186	0.84	0.577	0.754	0.387	1.845	0.243	0.448	267	1141	0.766	7.2
500720	2021-08-10	09:42:39	F	33	B	275	363	122	-	0.242	12.4	178	0.84	0.476	0.788	0.308	2.143	0.241	0.517	267	1141	0.766	7.2
600704	2021-08-10	09:44:19	F	34	B	282	340	185	-	0.171	13.3	172	0.84	0.345	0.808	0.21	2.356	0.247	0.582	267	1141	0.766	7.2
700683	2021-08-10	09:45:59	F	35	B	289	328	278	-	0.119	13.9	169	0.84	0.245	0.818	0.143	2.479	0.253	0.628	267	1141	0.766	7.2
800695	2021-08-10	09:47:39	F	36	B	295	322	409	-	0.084	14.4	167	0.84	0.174	0.823	0.099	2.543	0.259	0.657	267	1141	0.766	7.2
900677	2021-08-10	09:49:19	F	37	B	298	318	614	-	0.063	16.2	166	0.84	0.132	0.826	0.074	2.588	0.261	0.676	267	1141	0.766	7.2
1000667	2021-08-10	09:50:59	F	38	B	299	314	803	-	0.048	16.2	165	0.84	0.101	0.83	0.056	2.634	0.262	0.69	267	1141	0.766	7.2
1100649	2021-08-10	09:52:39	F	39	B	297	309	1122	-	0.039	18.4	164	0.84	0.083	0.834	0.046	2.693	0.26	0.701	267	1141	0.766	7.2
1200629	2021-08-10	09:54:19	F	40	B	294	304	1464	-	0.033	20.3	162	0.84	0.07	0.838	0.039	2.753	0.258	0.709	267	1141	0.766	7.1
1203809	2021-08-10	09:54:22	SLCE		Light Curve end 																		
PlantID	SO18-H1-7-39																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-08-10	09:58:02	SLCS		Light Curve start 																		
0	2021-08-10	09:58:02	REG1		#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.001, ETRmPot: 12.005 ) 																		
0	2021-08-10	09:58:02	REG2		#2: alpha: 0.166, ETRm: 12.947, Ik: 78.194 																		
786	2021-08-10	09:58:03	SCHS		Chart start 																		
787	2021-08-10	09:58:03	FO	41	B	303	1252	0	-	0.758	0	-	0.84	-	-	-	-	-	-	303	1252	0.758	7.2
100773	2021-08-10	09:59:43	F	42	B	308	537	23	-	0.426	4.1	229	0.84	0.744	0.675	0.553	1.331	0.246	0.328	303	1252	0.758	7.2
200754	2021-08-10	10:01:23	F	43	B	300	496	43	-	0.395	7.1	221	0.84	0.713	0.71	0.525	1.524	0.24	0.365	303	1252	0.758	7.2
300722	2021-08-10	10:03:03	F	44	B	281	425	63	-	0.339	9	206	0.84	0.658	0.769	0.482	1.946	0.224	0.437	303	1252	0.758	7.2
400725	2021-08-10	10:04:43	F	45	B	272	374	87	-	0.273	10	193	0.84	0.564	0.809	0.4	2.348	0.217	0.51	303	1252	0.758	7.2
500711	2021-08-10	10:06:23	F	46	B	274	348	122	-	0.213	10.9	186	0.84	0.457	0.829	0.31	2.598	0.219	0.568	303	1252	0.758	7.2
600713	2021-08-10	10:08:03	F	47	B	280	328	185	-	0.146	11.3	180	0.84	0.324	0.844	0.208	2.817	0.224	0.63	303	1252	0.758	7.2
700699	2021-08-10	10:09:43	F	48	B	285	320	278	-	0.109	12.7	178	0.84	0.246	0.85	0.154	2.913	0.228	0.663	303	1252	0.758	7.2
800685	2021-08-10	10:11:23	F	49	B	288	312	410	-	0.077	13.3	175	0.84	0.175	0.856	0.106	3.013	0.23	0.693	303	1252	0.758	7.2
900676	2021-08-10	10:13:03	F	50	B	291	306	614	-	0.049	12.6	173	0.84	0.113	0.86	0.067	3.092	0.232	0.719	303	1252	0.758	7.1
1000658	2021-08-10	10:14:43	F	51	B	290	302	803	-	0.04	13.5	172	0.84	0.092	0.863	0.055	3.146	0.232	0.728	303	1252	0.758	7.1
1100639	2021-08-10	10:16:23	F	52	B	289	297	1124	-	0.027	12.7	170	0.84	0.063	0.866	0.037	3.215	0.231	0.742	303	1252	0.758	7.1
1200654	2021-08-10	10:18:03	F	53	B	285	292	1468	-	0.024	14.8	169	0.84	0.057	0.87	0.034	3.288	0.228	0.748	303	1252	0.758	7.1
1203222	2021-08-10	10:18:06	SLCE		Light Curve end 																		
PlantID	SO18-H1-5-12																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-08-10	10:20:52	SLCS		Light Curve start 																		
0	2021-08-10	10:20:52	REG1		#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 26.267 ) 																		
0	2021-08-10	10:20:52	REG2		#2: alpha: 0.204, ETRm: 30.540, Ik: 149.716 																		
1336	2021-08-10	10:20:53	SCHS		Chart start 																		
1337	2021-08-10	10:20:53	FO	54	B	267	1231	0	-	0.783	0	-	0.84	-	-	-	-	-	-	267	1231	0.783	7.2
101325	2021-08-10	10:22:33	F	55	B	339	720	23	-	0.529	5.1	231	0.84	0.779	0.493	0.531	0.71	0.275	0.196	267	1231	0.783	7.2
201309	2021-08-10	10:24:13	F	56	B	367	777	43	-	0.528	9.5	237	0.84	0.759	0.44	0.49	0.584	0.298	0.174	267	1231	0.783	7.2
301296	2021-08-10	10:25:53	F	57	B	352	717	63	-	0.509	13.5	231	0.84	0.751	0.496	0.493	0.717	0.286	0.205	267	1231	0.783	7.1
401300	2021-08-10	10:27:33	F	58	B	332	617	87	-	0.462	16.9	220	0.84	0.718	0.588	0.476	0.995	0.27	0.268	267	1231	0.783	7.2
501287	2021-08-10	10:29:13	F	59	B	320	530	122	-	0.396	20.3	207	0.84	0.65	0.665	0.42	1.323	0.26	0.344	267	1231	0.783	7.2
601269	2021-08-10	10:30:53	F	60	B	311	450	185	-	0.309	24	194	0.84	0.543	0.734	0.339	1.736	0.253	0.438	267	1231	0.783	7.1
701255	2021-08-10	10:32:33	F	61	B	304	395	278	-	0.23	26.9	183	0.84	0.429	0.78	0.258	2.116	0.247	0.523	267	1231	0.783	7.2
801236	2021-08-10	10:34:13	F	62	B	297	357	410	-	0.168	28.9	174	0.84	0.328	0.81	0.192	2.448	0.241	0.591	267	1231	0.783	7.2
901224	2021-08-10	10:35:53	F	63	B	294	330	614	-	0.109	28.1	168	0.84	0.222	0.832	0.127	2.73	0.239	0.652	267	1231	0.783	7.2
1001232	2021-08-10	10:37:33	F	64	B	286	315	803	-	0.092	31	164	0.84	0.192	0.843	0.11	2.908	0.232	0.676	267	1231	0.783	7.1
1101215	2021-08-10	10:39:13	F	65	B	282	302	1123	-	0.066	31.1	160	0.84	0.141	0.853	0.08	3.076	0.229	0.705	267	1231	0.783	7.1
1201197	2021-08-10	10:40:53	F	66	B	276	293	1466	-	0.058	35.7	158	0.84	0.126	0.86	0.072	3.201	0.224	0.718	267	1231	0.783	7
1204214	2021-08-10	10:40:56	SLCE		Light Curve end 																		
PlantID	SO18-H1-5-7																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-08-10	10:45:16	SLCS		Light Curve start 																		
0	2021-08-10	10:45:16	REG1		#2: alpha: - , ETRm: - , Ik: -   ( beta: 0.000, ETRmPot: 12.828 ) 																		
0	2021-08-10	10:45:16	REG2		#2: alpha: 0.127, ETRm: 12.936, Ik: 101.849 																		
1241	2021-08-10	10:45:17	SCHS		Chart start 																		
1242	2021-08-10	10:45:17	FO	67	B	308	1030	0	-	0.701	0	-	0.84	-	-	-	-	-	-	308	1030	0.701	7.2
101228	2021-08-10	10:46:57	F	68	B	308	463	23	-	0.335	3.2	225	0.84	0.651	0.67	0.476	1.225	0.299	0.366	308	1030	0.701	7.1
201235	2021-08-10	10:48:37	F	69	B	300	428	43	-	0.299	5.4	217	0.84	0.607	0.708	0.439	1.407	0.291	0.41	308	1030	0.701	7.1
301221	2021-08-10	10:50:17	F	70	B	292	414	63	-	0.295	7.8	213	0.84	0.607	0.722	0.443	1.488	0.283	0.422	308	1030	0.701	7.1
401202	2021-08-10	10:51:57	F	71	B	266	353	87	-	0.246	9	196	0.84	0.554	0.783	0.408	1.918	0.258	0.496	308	1030	0.701	7.1
501188	2021-08-10	10:53:37	F	72	B	252	314	122	-	0.197	10.1	183	0.84	0.473	0.819	0.343	2.28	0.245	0.558	308	1030	0.701	7.1
601175	2021-08-10	10:55:17	F	73	B	244	285	185	-	0.144	11.2	173	0.84	0.366	0.845	0.26	2.614	0.237	0.619	308	1030	0.701	7.2
701130	2021-08-10	10:56:57	F	74	B	237	265	278	-	0.106	12.4	165	0.84	0.28	0.861	0.195	2.887	0.23	0.664	308	1030	0.701	7.1
801159	2021-08-10	10:58:37	F	75	B	232	250	410	-	0.072	12.4	159	0.84	0.198	0.874	0.136	3.12	0.225	0.703	308	1030	0.701	7.1
901149	2021-08-10	11:00:17	F	76	B	228	240	614	-	0.05	12.9	155	0.84	0.141	0.882	0.096	3.292	0.221	0.729	308	1030	0.701	7.1
1001137	2021-08-10	11:01:57	F	77	B	224	233	803	-	0.039	13.2	152	0.84	0.111	0.888	0.075	3.421	0.217	0.744	308	1030	0.701	7
1101108	2021-08-10	11:03:37	F	78	B	218	226	1123	-	0.035	16.5	149	0.84	0.104	0.893	0.071	3.558	0.212	0.753	308	1030	0.701	7.1
1201103	2021-08-10	11:05:17	F	79	B	214	218	1466	-	0.018	11.1	146	0.84	0.056	0.9	0.038	3.725	0.208	0.774	308	1030	0.701	7
1204077	2021-08-10	11:05:20	SLCE		Light Curve end 																		
PlantID	SO18-H1-5-41X																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-08-10	11:16:00	SLCS		Light Curve start 																		
0	2021-08-10	11:16:00	REG1		#2: alpha: 0.172, ETRm: 13.020, Ik: 75.526   ( beta: 0.000, ETRmPot: 13.073 ) 																		
0	2021-08-10	11:16:00	REG2		#2: alpha: 0.133, ETRm: 12.831, Ik: 96.706 																		
1179	2021-08-10	11:16:01	SCHS		Chart start 																		
1180	2021-08-10	11:16:01	FO	80	B	246	1084	0	-	0.773	0	-	0.84	-	-	-	-	-	-	246	1084	0.773	7.1
101189	2021-08-10	11:17:41	F	81	B	222	350	23	-	0.366	3.5	167	0.84	0.699	0.782	0.526	2.097	0.205	0.429	246	1084	0.773	7.1
201168	2021-08-10	11:19:21	F	82	B	196	290	43	-	0.324	5.9	152	0.84	0.681	0.835	0.528	2.738	0.181	0.495	246	1084	0.773	7.1
301131	2021-08-10	11:21:01	F	83	B	197	279	63	-	0.294	7.8	149	0.84	0.631	0.845	0.477	2.885	0.182	0.524	246	1084	0.773	7.1
401135	2021-08-10	11:22:41	F	84	B	195	260	87	-	0.25	9.1	143	0.84	0.556	0.86	0.408	3.169	0.18	0.57	246	1084	0.773	7.1
501127	2021-08-10	11:24:21	F	85	B	198	247	122	-	0.198	10.1	139	0.84	0.454	0.871	0.319	3.389	0.183	0.619	246	1084	0.773	7.1
601112	2021-08-10	11:26:01	F	86	B	204	239	185	-	0.146	11.3	136	0.84	0.34	0.877	0.227	3.536	0.188	0.666	246	1084	0.773	7.1
701114	2021-08-10	11:27:41	F	87	B	210	234	278	-	0.103	12	135	0.84	0.242	0.882	0.156	3.632	0.194	0.703	246	1084	0.773	7.1
801100	2021-08-10	11:29:21	F	88	B	212	229	409	-	0.074	12.7	133	0.84	0.177	0.885	0.111	3.734	0.196	0.73	246	1084	0.773	7.1
901085	2021-08-10	11:31:01	F	89	B	214	226	613	-	0.053	13.6	132	0.84	0.128	0.888	0.079	3.796	0.197	0.75	246	1084	0.773	7.1
1001067	2021-08-10	11:32:41	F	90	B	215	224	801	-	0.04	13.5	131	0.84	0.097	0.889	0.059	3.839	0.198	0.762	246	1084	0.773	7
1101054	2021-08-10	11:34:21	F	91	B	215	222	1122	-	0.032	15.1	131	0.84	0.077	0.891	0.047	3.883	0.198	0.77	246	1084	0.773	7
1201045	2021-08-10	11:36:01	F	92	B	214	218	1462	-	0.018	11.1	129	0.84	0.045	0.894	0.027	3.972	0.197	0.785	246	1084	0.773	6.9
1204466	2021-08-10	11:36:04	SLCE		Light Curve end 																		
PlantID	SO18-H3-7-10																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-08-10	11:45:28	SLCS		Light Curve start 																		
0	2021-08-10	11:45:28	REG1		#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 11.886 ) 																		
0	2021-08-10	11:45:28	REG2		#2: alpha: 0.089, ETRm: 16.789, Ik: 188.377 																		
1058	2021-08-10	11:45:29	SCHS		Chart start 																		
1059	2021-08-10	11:45:29	FO	93	B	229	681	0	-	0.664	0	-	0.84	-	-	-	-	-	-	229	681	0.664	7
101039	2021-08-10	11:47:09	F	94	B	263	360	23	-	0.269	2.6	176	0.84	0.527	0.593	0.353	0.892	0.386	0.345	229	681	0.664	7
201045	2021-08-10	11:48:49	F	95	B	230	313	43	-	0.265	4.8	164	0.84	0.557	0.67	0.397	1.176	0.338	0.397	229	681	0.664	7
301029	2021-08-10	11:50:29	F	96	B	209	275	63	-	0.24	6.4	153	0.84	0.541	0.73	0.396	1.476	0.307	0.453	229	681	0.664	7
401020	2021-08-10	11:52:09	F	97	B	192	246	87	-	0.22	8	144	0.84	0.529	0.774	0.397	1.768	0.282	0.498	229	681	0.664	7
501003	2021-08-10	11:53:49	F	98	B	184	227	122	-	0.189	9.7	137	0.84	0.478	0.801	0.356	2	0.27	0.541	229	681	0.664	7
600990	2021-08-10	11:55:29	F	99	B	180	212	185	-	0.151	11.7	131	0.84	0.395	0.821	0.287	2.212	0.264	0.585	229	681	0.664	7
700970	2021-08-10	11:57:09	F	100	B	179	203	277	-	0.118	13.7	128	0.84	0.32	0.834	0.229	2.355	0.263	0.619	229	681	0.664	7
800976	2021-08-10	11:58:49	F	101	B	178	196	408	-	0.092	15.8	125	0.84	0.254	0.843	0.178	2.474	0.261	0.647	229	681	0.664	7
900964	2021-08-10	12:00:29	F	102	B	176	186	612	-	0.054	13.9	121	0.84	0.154	0.856	0.106	2.661	0.258	0.688	229	681	0.664	7
1000944	2021-08-10	12:02:09	F	103	B	169	177	801	-	0.045	15.1	117	0.84	0.133	0.867	0.092	2.847	0.248	0.707	229	681	0.664	7
1100930	2021-08-10	12:03:49	F	104	B	160	166	1120	-	0.036	16.9	112	0.84	0.111	0.881	0.078	3.102	0.235	0.729	229	681	0.664	6.9
1200915	2021-08-10	12:05:29	F	105	B	155	161	1462	-	0.037	22.7	110	0.84	0.118	0.887	0.084	3.23	0.228	0.735	229	681	0.664	6.9
1204167	2021-08-10	12:05:32	SLCE		Light Curve end 																		
PlantID	SO18-H3-7-7																						
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-08-10	12:12:16	SLCS		Light Curve start 																		
0	2021-08-10	12:12:16	REG1		#2: alpha: 0.250, ETRm: 22.174, Ik: 88.679   ( beta: 0.001, ETRmPot: 22.688 ) 																		
0	2021-08-10	12:12:16	REG2		#2: alpha: 0.196, ETRm: 21.718, Ik: 110.910 																		
1334	2021-08-10	12:12:17	SCHS		Chart start 																		
1335	2021-08-10	12:12:17	FO	106	B	249	997	0	-	0.75	0	-	0.84	-	-	-	-	-	-	249	997	0.75	7
101321	2021-08-10	12:13:57	F	107	B	220	375	23	-	0.413	4	176	0.84	0.779	0.734	0.623	1.659	0.221	0.366	249	997	0.75	7
201307	2021-08-10	12:15:37	F	108	B	219	394	43	-	0.444	8	180	0.84	0.818	0.714	0.672	1.53	0.22	0.336	249	997	0.75	7
301240	2021-08-10	12:17:17	F	109	B	225	407	63	-	0.447	11.8	183	0.84	0.813	0.701	0.661	1.45	0.226	0.327	249	997	0.75	7
401297	2021-08-10	12:18:57	F	110	B	217	360	87	-	0.397	14.5	173	0.84	0.765	0.75	0.61	1.769	0.218	0.385	249	997	0.75	7
501286	2021-08-10	12:20:37	F	111	B	210	317	122	-	0.338	17.3	162	0.84	0.69	0.793	0.532	2.145	0.211	0.451	249	997	0.75	7
601268	2021-08-10	12:22:17	F	112	B	213	283	185	-	0.247	19.2	153	0.84	0.538	0.826	0.386	2.523	0.214	0.539	249	997	0.75	7
701234	2021-08-10	12:23:57	F	113	B	218	266	278	-	0.18	21	148	0.84	0.407	0.842	0.276	2.748	0.219	0.601	249	997	0.75	7
801235	2021-08-10	12:25:37	F	114	B	222	253	410	-	0.123	21.2	144	0.84	0.284	0.854	0.184	2.941	0.223	0.654	249	997	0.75	6.9
901214	2021-08-10	12:27:17	F	115	B	224	245	614	-	0.086	22.2	141	0.84	0.202	0.861	0.127	3.069	0.225	0.689	249	997	0.75	7
1001225	2021-08-10	12:28:57	F	116	B	225	242	803	-	0.07	23.6	140	0.84	0.167	0.864	0.104	3.12	0.226	0.704	249	997	0.75	6.9
1101215	2021-08-10	12:30:37	F	117	B	226	237	1123	-	0.046	21.7	138	0.84	0.111	0.868	0.068	3.207	0.227	0.727	249	997	0.75	6.9
1201200	2021-08-10	12:32:17	F	118	B	226	234	1465	-	0.034	20.9	137	0.84	0.082	0.87	0.05	3.261	0.227	0.739	249	997	0.75	6.9
1204380	2021-08-10	12:32:20	SLCE		Light Curve end 																		
PlantID	SO18-H1-5-15		PAM Signal Low Warning																				
Time (rel/ms)	Date	Time	Type	No.	2:Mark	2:F	2:Fm'	2:PAR	2:Temp	2:Y (II)	2:ETR	2:Fo'	2:ETR-F.	2:qP	2:qN	2:qL	2:NPQ	2:Y (NO)	2:Y (NPQ)	2:Fo	2:Fm	2:Fv/Fm	2:Batt.
0			D		Device Nr: #2, MINI-PAM-II (PYAD0264A) 																		
0	2021-08-10	12:43:34	SLCS		Light Curve start 																		
0	2021-08-10	12:43:34	REG1		#2: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 16.539 ) 																		
0	2021-08-10	12:43:34	REG2		#2: alpha: 0.215, ETRm: 20.046, Ik: 93.238 																		
572	2021-08-10	12:43:35	SCHS		Chart start 																		
573	2021-08-10	12:43:35	FO	123	B	272	1318	0	-	0.794	0	-	0.84	-	-	-	-	-	-	272	1318	0.794	7
100552	2021-08-10	12:45:14	F	124	B	394	1017	23	-	0.613	5.9	256	0.84	0.819	0.272	0.532	0.296	0.299	0.088	272	1318	0.794	7
200534	2021-08-10	12:46:54	F	125	B	360	766	43	-	0.53	9.6	237	0.84	0.767	0.494	0.505	0.721	0.273	0.197	272	1318	0.794	7
300546	2021-08-10	12:48:34	F	126	B	306	560	63	-	0.454	12	213	0.84	0.732	0.668	0.51	1.354	0.232	0.314	272	1318	0.794	7
400525	2021-08-10	12:50:14	F	127	B	279	461	87	-	0.395	14.4	197	0.84	0.689	0.748	0.486	1.859	0.212	0.393	272	1318	0.794	7
500511	2021-08-10	12:51:54	F	128	B	267	391	122	-	0.317	16.2	183	0.84	0.596	0.801	0.408	2.371	0.203	0.48	272	1318	0.794	6.9
